"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"140","relatively","副詞","比較的、割合に","The company's meetings were relatively informal and everyone was free to speak.","その会社の会議は比較的形式張らず、みんな自由に発言できた。","/rélətivli/","somewhat","absolutely","4"
"141","verge","名詞","限界、境界、端、縁","The divorce led him to the verge of a nervous breakdown.","離婚により彼はノイローゼ寸前に達しつつあった。","/və́:rdʒ/","edge, brink","","9"
"142","literary","形容詞","文学の、文学的な; 書き言葉の; 文学に通じた","It was the first book published in her long literary career.","それは彼女の長い文芸活動の中でも最初に出版された本だった。","/lítərəri/","","","4"
"143","slight","形容詞","わずかな、少しの","He felt a little unwell and had a slight fever of 37.2 degrees.","彼は少し具合が悪く37.2度の微熱があった。","/sláit/","","","3"
"144","neglect","動詞/名詞","～をほったらかす、～するのを怠る / 放置; 育児放棄","The property had been neglected and required many repairs.","その物件は放置されていたのでいろいろと修繕が必要だった。","/niglékt/","disregard, ignore; forget, overlook, omit","","3"
"145","adaptation","名詞","(新しい環境への)適応、順応; 脚色、翻案","The adaptation of the local population to the changing environment was a success.","地元住民を環境の変化に適応させることに成功した。","/æ̀dæptéiʃən/","adjustment","","7"
"146","estimate","動詞","～を見積もる、概算する","If you aren't sure how many people are coming, just estimate the number of plates.","何人来るのか分からなければ、お皿の数をちょっと概算で出してみて。","/éstəmèit/","calculate","","4"
"147","document","名詞","文書、証書; 記録、資料","Please make a copy of this document for everyone attending the meeting.","会議の出席者全員のために、この文書をコピーしてください。","/dɔ́kjumənt/","blank, form, certificate","","3"
"148","imbalance","名詞","不均衡、不安定、アンバランス","There was a huge economic imbalance between the North and South.","南北間には巨大な経済的不均衡があった。","/imbæləns/","inequality, asymmetry","","8"
"149","equip","動詞","～を装備する、～に備え付ける","The hunter equipped himself with a gun and headed for the jungle.","狩人は銃を装備して、ジャングルに向かった。","/ikwíp/","fit, prepare, furnish","","6"
"150","adaptable","形容詞","適応できる; 順応性のある、順応できる","Successful businesses are highly adaptable to economic change.","成功している企業は経済の変化に高度に適応できる。","/ədæptəbl/","","","8"
"151","concentration","名詞","集中、専念; 結集; 濃度","He lost his concentration and had to read the page again.","彼は集中力がなくなったので、そのページをもう一度読まなければならなかった。","/kɔ̀nsəntréiʃən/","focus","","4"
"152","expose","動詞","(悪事など)を暴露する、暴く; ～をさらす、露出する","The journalist's articles exposed the politician's lies.","そのジャーナリストの記事は政治家のうそを暴いた。","/ikspóuz/","uncover, unmask, disclose","","4"
"153","adjust","動詞","～を調節する、適合させる","If you adjust the temperature a little, the experiment will be a lot more successful.","温度を少し調整すれば実験はずっとうまくいくだろう。","/ədʒʌ́st/","adapt, fix, modify, conform, acclimatise","","4"
"154","exploitation","名詞","(営利目的での)開発、開拓; 搾取","The exploitation of the rainforest in Brazil has caused trouble for the local tribes.","ブラジルの熱帯雨林の開発は地元の部族を悩ませている。","/èksplɔitéiʃən/","abuse","","8"
"155","arrow","名詞","矢、矢印","The arrow flew straight and hit the target.","矢は真っすぐに飛んで的に当たった。","/ærou/","","","3"
"156","metropolitan","形容詞","大都市の、首都圏の、都会の","This town grew to be one of the largest metropolitan areas in the country.","この街は、国内最大の都市圏の1つに成長した。","/mètrəpɔ́litən/","urban","","7"
"157","demand","名詞/動詞","要求、需要 / ～を要求する、請求する","The demand for gloves and rubber boots increased a lot over winter.","冬の間に手袋とゴム長靴の需要がぐんと増えた。","/dimɑ́:nd/","require","","2"
"158","retain","動詞","～を保持する、維持する","The shareholders lost their battle to retain control of the company after the takeover.","株主は、買収後の会社の主導権を維持する闘いに敗れた。","/ritéin/","keep, withhold","","4"
"159","representation","名詞","表現、描写、記述","A snake swallowing its tail is a representation of infinity.","自らの尾を飲み込むヘビは無限性を表現している。","/rèprizentéiʃən/","","","6"
"160","landowner","名詞","地主、土地所有者","A single landowner possesses all the fields and farms around this area.","その地主は1人でこの地域の畑と農場を全て所有している。","/lǽndòunə/","landlord","","8"
"161","dedication","名詞","献身、専念、熱心さ","To be successful at anything requires hard work and dedication.","どのようなことにおいても、成功を収めるには努力と献身が必要である。","/dèdikéiʃən/","devotion","","8"
"162","imply","動詞","～を暗に意味する、～をほのめかす; 含意する","What does the professor imply by quoting Hamlet?","ハムレットの引用により、教授が示唆することは何か？","/implái/","hint, indicate, suggest","","5"
"163","cooperate","動詞","協力する、共同する","If everyone cooperates, we'll complete this task much more quickly.","全員が協力すれば、この課題をもっとずっと早く終わらせられる。","/kouɔ́pərèit/","collaborate, unite, interact","","6"
"164","genuine","形容詞","本物の、偽物でない; 正直な、誠実な","Do you already know the answer or are you asking a genuine question?","答えをすでに知っているのですか、それとも純粋に質問しているのですか？","/dʒénjuin/","authentic, real, legitimate","FALSE","5"
"165","function","動詞/名詞","機能する、働く / 機能、働き; 儀式","After the accident, he could function but his ability was severely diminished.","事故後、彼はなんとか動くことができたが、能力面ではかなりの減退を余儀なくされていた。","/fʌ́ŋkʃən/","perform, operate; capacity, task, duty, affair","","3"
