"ID","単語","品詞","意味","例文","訳文","発音記号","類義語","反意語","SVL"
"352","bit","名詞","少し","Wait a bit longer.","もう少し待ってください。","","","",""
"353","share","名詞","共有","Share your toys.","おもちゃを共有してください。","","","",""
"354","real","形容詞","本物","Dreams can become real.","夢は実現可能です。","","","",""
"355","answer","名詞","答え","The answer is clear.","答えは明確です。","","","",""
"356","sit","動詞","座る","Sit beside me.","私の隣に座ってください。","","","",""
"357","figure","名詞","形","Let’s figure it out.","それを解明しましょう。","","","",""
"358","letter","名詞","手紙","I received a letter today.","今日、手紙を受け取りました。","","","",""
"359","decide","動詞","決める","Decide wisely.","賢く決めてください。","","","",""
"360","language","名詞","言語","I love learning new languages.","新しい言語を学ぶのが大好きです。","","","",""
"361","subject","名詞","主題","The subject of the seminar is health.","セミナーの主題は健康です。","","","",""
"362","class","名詞","クラス","I have a class at 10 am.","午前10時に授業があります。","","","",""
"363","development","名詞","発達","The development of the city is rapid.","その都市の発展は急速です。","","","",""
"364","town","名詞","町","The town is peaceful.","その町は平和です。","","","",""
"365","half","名詞","半分","I ate half the cake.","ケーキの半分を食べました。","","","",""
"366","minute","名詞","分","Wait a minute.","ちょっと待ってください。","","","",""
"367","food","名詞","食べ物","I love Italian food.","イタリア料理が大好きです。","","","",""
"368","break","動詞","壊す","Let’s take a break.","休憩しましょう。","","","",""
"369","clear","形容詞","クリア","The sky is clear.","空は晴れています。","","","",""
"370","future","名詞","未来","Invest in your future.","あなたの未来に投資してください。","","","",""
"371","either","代名詞","どちらか","Either way, it’s fine.","どちらの方法でも大丈夫です。","","","",""
"372","ago","副詞","前","A long time ago.","かなり昔。","","","",""
"373","per","前置詞","あたり","Five apples per person.","一人あたり5つのリンゴ。","","","",""
"374","remain","動詞","残る","Some questions remain unanswered.","いくつかの質問は未回答のままです。","","","",""
"375","top","名詞","上","Meet me at the top.","トップで私に会ってください。","","","",""
"376","among","前置詞","の間で","Among the stars.","星々の中で。","","","",""
"377","win","動詞","勝つ","Win or lose, it’s the effort.","勝つか負けるか、それは努力です。","","","",""
"378","color","名詞","色","The color blue soothes me.","青い色が私を落ち着かせます。","","","",""
"379","involve","動詞","関与する","The task involves hard work.","その仕事は激しい努力を伴います。","","","",""
"380","reach","動詞","到着","Reach for the stars.","星に手を伸ばしてください。","","","",""
"381","social","形容詞","社交","Social media is powerful.","ソーシャルメディアは強力です。","","","",""
"382","period","名詞","期間","The medieval period is fascinating.","中世の時代は魅力的です。","","","",""
"383","across","前置詞","横切って","Walk across the bridge.","橋を渡って歩いてください。","","","",""
"384","note","名詞","注記","Take a note of this.","これをメモしてください。","","","",""
"385","history","名詞","歴史","History teaches us lessons.","歴史は私たちに教訓を教えてくれます。","","","",""
"386","create","動詞","作成する","Create beautiful memories.","美しい思い出を作ってください。","","","",""
"387","drive","動詞","ドライブ","Let’s go for a drive.","ドライブに行きましょう。","","","",""
"388","along","前置詞","平行","Walk along the river.","川沿いを歩いてください。","","","",""
"389","type","名詞","タイプ","What type of music do you like?","どんなタイプの音楽が好きですか？","","","",""
"390","sound","名詞","音","The sound of rain is calming.","雨の音は落ち着く。","","","",""
"391","eye","名詞","目","The eye is the window to the soul.","目は魂の窓です。","","","",""
"392","music","名詞","音楽","Music heals the soul.","音楽は魂を癒します。","","","",""
"393","game","名詞","ゲーム","Let’s play a game.","ゲームをしましょう。","","","",""
"394","political","形容詞","政治的","The political climate is changing.","政治の状況が変わってきています。","","","",""
"395","free","形容詞","無料","Feel free to join.","自由に参加してください。","","","",""
"396","receive","動詞","受け取る","I didn’t receive the package.","私は荷物を受け取っていません。","","","",""
